"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"2015","2015","< 1 year","0","Female","F",10447,1942904,537.7
,"2015","2015","< 1 year","0","Male","M",13008,2035134,639.2
,"2015","2015","1 year","1","Female","F",678,1939269,35.0
,"2015","2015","1 year","1","Male","M",913,2029295,45.0
,"2015","2015","2 years","2","Female","F",442,1939979,22.8
,"2015","2015","2 years","2","Male","M",565,2026604,27.9
,"2015","2015","3 years","3","Female","F",316,1943417,16.3
,"2015","2015","3 years","3","Male","M",462,2030644,22.8
,"2015","2015","4 years","4","Female","F",248,1964111,12.6
,"2015","2015","4 years","4","Male","M",341,2055924,16.6
,"2015","2015","5 years","5","Female","F",222,1967310,11.3
,"2015","2015","5 years","5","Male","M",321,2050848,15.7
,"2015","2015","6 years","6","Female","F",233,1968544,11.8
,"2015","2015","6 years","6","Male","M",283,2050663,13.8
,"2015","2015","7 years","7","Female","F",207,2031242,10.2
,"2015","2015","7 years","7","Male","M",241,2117118,11.4
,"2015","2015","8 years","8","Female","F",195,2039062,9.6
,"2015","2015","8 years","8","Male","M",269,2128825,12.6
,"2015","2015","9 years","9","Female","F",168,2021886,8.3
,"2015","2015","9 years","9","Male","M",263,2111678,12.5
,"2015","2015","10 years","10","Female","F",167,2017346,8.3
,"2015","2015","10 years","10","Male","M",274,2103943,13.0
,"2015","2015","11 years","11","Female","F",198,2023586,9.8
,"2015","2015","11 years","11","Male","M",266,2106742,12.6
,"2015","2015","12 years","12","Female","F",225,2010241,11.2
,"2015","2015","12 years","12","Male","M",293,2090780,14.0
,"2015","2015","13 years","13","Female","F",291,2001602,14.5
,"2015","2015","13 years","13","Male","M",394,2082704,18.9
,"2015","2015","14 years","14","Female","F",352,2049167,17.2
,"2015","2015","14 years","14","Male","M",549,2136219,25.7
,"2015","2015","15 years","15","Female","F",368,2076753,17.7
,"2015","2015","15 years","15","Male","M",723,2172989,33.3
,"2015","2015","16 years","16","Female","F",486,2045025,23.8
,"2015","2015","16 years","16","Male","M",988,2139271,46.2
,"2015","2015","17 years","17","Female","F",569,2049112,27.8
,"2015","2015","17 years","17","Male","M",1409,2145174,65.7
,"2015","2015","18 years","18","Female","F",743,2061954,36.0
,"2015","2015","18 years","18","Male","M",1841,2156041,85.4
,"2015","2015","19 years","19","Female","F",833,2078192,40.1
,"2015","2015","19 years","19","Male","M",2226,2184392,101.9
,"2015","2015","20 years","20","Female","F",866,2123067,40.8
,"2015","2015","20 years","20","Male","M",2500,2240373,111.6
,"2015","2015","21 years","21","Female","F",993,2166784,45.8
,"2015","2015","21 years","21","Male","M",2851,2290006,124.5
,"2015","2015","22 years","22","Female","F",1021,2197776,46.5
,"2015","2015","22 years","22","Male","M",3134,2331696,134.4
,"2015","2015","23 years","23","Female","F",1088,2264424,48.0
,"2015","2015","23 years","23","Male","M",3251,2387842,136.1
,"2015","2015","24 years","24","Female","F",1181,2319408,50.9
,"2015","2015","24 years","24","Male","M",3423,2417937,141.6
,"2015","2015","25 years","25","Female","F",1285,2322049,55.3
,"2015","2015","25 years","25","Male","M",3471,2407515,144.2
,"2015","2015","26 years","26","Female","F",1260,2233433,56.4
,"2015","2015","26 years","26","Male","M",3296,2310983,142.6
,"2015","2015","27 years","27","Female","F",1327,2185163,60.7
,"2015","2015","27 years","27","Male","M",3412,2254603,151.3
,"2015","2015","28 years","28","Female","F",1386,2149931,64.5
,"2015","2015","28 years","28","Male","M",3364,2214738,151.9
,"2015","2015","29 years","29","Female","F",1467,2161579,67.9
,"2015","2015","29 years","29","Male","M",3630,2221560,163.4
,"2015","2015","30 years","30","Female","F",1601,2185746,73.2
,"2015","2015","30 years","30","Male","M",3506,2231463,157.1
,"2015","2015","31 years","31","Female","F",1641,2125468,77.2
,"2015","2015","31 years","31","Male","M",3575,2152765,166.1
,"2015","2015","32 years","32","Female","F",1848,2162451,85.5
,"2015","2015","32 years","32","Male","M",3738,2181163,171.4
,"2015","2015","33 years","33","Female","F",1926,2166123,88.9
,"2015","2015","33 years","33","Male","M",3832,2175631,176.1
,"2015","2015","34 years","34","Female","F",1995,2146121,93.0
,"2015","2015","34 years","34","Male","M",3957,2148717,184.2
,"2015","2015","35 years","35","Female","F",2064,2180134,94.7
,"2015","2015","35 years","35","Male","M",4026,2199270,183.1
,"2015","2015","36 years","36","Female","F",2243,2055478,109.1
,"2015","2015","36 years","36","Male","M",3949,2053297,192.3
,"2015","2015","37 years","37","Female","F",2206,2017940,109.3
,"2015","2015","37 years","37","Male","M",4015,2010463,199.7
