"age","qx","lx","dx","px","Lx","Tx","ex","gender"
0,0.00516326260329391,1e+05,516.326260329391,0.994836737396706,99741.8368698353,7747365.99546951,77.4736599546951,"Female"
1,0.000342604528107817,99483.6737396706,34.0835570960118,0.999657395471892,99466.6319611226,7647624.15859968,76.8731578873134,"Female"
2,0.000221854035498498,99449.5901825746,22.063292910676,0.999778145964502,99438.5585361193,7548157.52663855,75.8993326446219,"Female"
3,0.000159823497645227,99427.5268896639,15.8908551097209,0.999840176502355,99419.5814621091,7448718.96810243,74.9160640027623,"Female"
4,0.000135435712213083,99411.6360345542,13.4638857286076,0.999864564287787,99404.9040916899,7349299.38664033,73.9279593395466,"Female"
5,0.000118497525131421,99398.1721488256,11.7784374022228,0.999881502474869,99392.2829301245,7249894.48254864,72.9379054545752,"Female"
6,0.000110513473253321,99386.3937114234,10.9835355631714,0.999889486526747,99380.9019436418,7150502.19961851,71.9464901843666,"Female"
7,0.000104503969922881,99375.4101758602,10.385124876092,0.999895496030077,99370.2176134222,7051121.29767487,70.9543868568373,"Female"
8,9.97552996674581e-05,99365.0250509841,9.9121878504254,0.999900244700333,99360.0689570589,6951751.08006145,69.9617503894807,"Female"
9,9.81504523501516e-05,99355.1128631337,9.75174927081694,0.99990184954765,99350.2369884983,6852391.01110439,68.9686802584974,"Female"
10,9.53714084600449e-05,99345.3611138629,9.47470701340088,0.99990462859154,99340.6237603562,6753040.77411589,67.9754011500951,"Female"
11,0.000108143438845744,99335.8864068495,10.7425243568269,0.999891856561154,99330.5151446711,6653700.15035553,66.9818369879341,"Female"
12,0.000114664432551422,99325.1438824926,11.3890612613744,0.999885335567449,99319.449351862,6554369.63521086,65.9890273399962,"Female"
13,0.000138116322463567,99313.7548212313,13.7168505859568,0.999861883677536,99306.8963959383,6455050.185859,64.9965374632985,"Female"
14,0.000166200407764332,99300.0379706453,16.5037068017349,0.999833799592236,99291.7861172444,6355743.28946306,64.0054467183781,"Female"
15,0.000192809375156394,99283.5342638436,19.1427962047301,0.999807190624844,99273.9628657412,6256451.50334582,63.0160031039936,"Female"
